time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080108:0400,3.81,92.15,0.0,-0.0,0.0,252.95,4.21,221.0,101750.0
20080108:0500,3.82,92.2,0.0,-0.0,0.0,257.2,4.14,218.0,101750.0
20080108:0600,3.66,95.7,0.0,-0.0,0.0,251.0,3.93,212.0,101740.0
20080108:0700,3.7,95.7,0.0,-0.0,0.0,249.85,4.0,211.0,101770.0
20080108:0800,3.7,95.7,16.0,95.83,12.0,256.05,3.93,204.0,101770.0
20080108:0900,4.33,92.25,69.0,59.08,60.0,275.2,4.07,200.0,101770.0
20080108:1000,5.32,92.25,65.0,0.0,65.0,285.65,3.66,197.0,101760.0
20080108:1100,6.39,85.75,159.0,115.69,127.0,308.1,6.0,204.0,101730.0
20080108:1200,7.0,85.75,59.0,0.0,59.0,325.5,5.86,204.0,101670.0
20080108:1300,7.38,85.8,127.0,76.72,108.0,331.3,5.59,205.0,101600.0
20080108:1400,7.73,85.8,102.0,158.63,74.0,329.95,5.17,202.0,101560.0
20080108:1500,7.62,85.8,35.0,150.2,24.0,331.3,4.76,196.0,101490.0
20080108:1600,7.08,85.75,0.0,-0.0,0.0,320.85,4.9,190.0,101450.0
20080108:1700,6.64,82.6,0.0,-0.0,0.0,316.8,5.24,187.0,101420.0
20080108:1800,6.2,85.7,0.0,-0.0,0.0,308.65,5.45,187.0,101370.0
20080108:1900,6.26,85.7,0.0,-0.0,0.0,296.1,5.38,188.0,101360.0
20080108:2000,5.78,88.9,0.0,-0.0,0.0,288.55,5.38,189.0,101290.0
20080108:2100,5.38,85.65,0.0,-0.0,0.0,284.65,5.45,190.0,101220.0
20080108:2200,5.24,88.85,0.0,-0.0,0.0,292.05,5.59,191.0,101170.0
20080108:2300,5.15,85.6,0.0,-0.0,0.0,289.9,5.66,191.0,101100.0
20080109:0000,5.28,85.6,0.0,-0.0,0.0,299.0,5.86,190.0,101020.0
20080109:0100,5.28,82.4,0.0,-0.0,0.0,284.6,5.93,191.0,100920.0
20080109:0200,5.69,76.5,0.0,-0.0,0.0,302.5,6.07,190.0,100830.0
20080109:0300,6.27,73.7,0.0,-0.0,0.0,317.95,6.34,194.0,100770.0
20080109:0400,6.49,73.8,0.0,-0.0,0.0,314.5,6.34,198.0,100730.0
20080109:0500,6.48,76.65,0.0,-0.0,0.0,313.1,6.21,203.0,100730.0
20080109:0600,6.79,79.55,0.0,-0.0,0.0,336.75,5.79,210.0,100760.0
20080109:0700,7.32,89.0,0.0,-0.0,0.0,343.3,4.97,217.0,100800.0
20080109:0800,7.29,92.35,2.0,0.0,2.0,339.85,4.48,221.0,100840.0
20080109:0900,7.24,92.35,19.0,0.0,19.0,326.3,4.07,225.0,100920.0
20080109:1000,7.19,92.35,57.0,0.0,57.0,322.05,3.93,229.0,100960.0
20080109:1100,7.15,89.0,234.0,505.87,93.0,320.3,4.14,232.0,100990.0
20080109:1200,7.5,82.65,234.0,468.01,101.0,306.35,4.83,236.0,101000.0
20080109:1300,7.73,82.65,157.0,179.8,112.0,279.65,4.97,236.0,100990.0
20080109:1400,7.79,79.65,101.0,145.0,75.0,277.3,4.97,238.0,101060.0
20080109:1500,7.47,79.65,25.0,26.27,23.0,286.8,4.69,243.0,101120.0
20080109:1600,6.49,79.55,0.0,-0.0,0.0,263.95,4.28,237.0,101190.0
20080109:1700,5.75,82.5,0.0,-0.0,0.0,260.3,4.14,227.0,101240.0
20080109:1800,5.08,85.6,0.0,-0.0,0.0,247.3,4.21,220.0,101260.0
20080109:1900,5.04,85.6,0.0,-0.0,0.0,266.1,4.41,214.0,101310.0
20080109:2000,5.15,85.6,0.0,-0.0,0.0,270.75,4.97,212.0,101320.0
20080109:2100,5.28,85.6,0.0,-0.0,0.0,269.75,5.24,214.0,101330.0
20080109:2200,5.38,82.5,0.0,-0.0,0.0,271.3,5.24,214.0,101340.0
20080109:2300,5.41,82.5,0.0,-0.0,0.0,275.0,5.31,213.0,101320.0
20080110:0000,5.26,85.6,0.0,-0.0,0.0,264.55,5.24,210.0,101320.0
20080110:0100,5.11,85.6,0.0,-0.0,0.0,267.75,5.1,208.0,101270.0
20080110:0200,4.9,85.6,0.0,-0.0,0.0,264.55,5.1,204.0,101250.0
20080110:0300,4.67,88.85,0.0,-0.0,0.0,259.5,5.17,203.0,101230.0
20080110:0400,4.41,85.55,0.0,-0.0,0.0,255.45,5.24,200.0,101160.0
20080110:0500,4.23,88.8,0.0,-0.0,0.0,252.15,5.38,198.0,101110.0
20080110:0600,4.16,88.8,0.0,-0.0,0.0,251.95,5.52,196.0,101090.0
20080110:0700,4.89,85.6,0.0,-0.0,0.0,258.35,5.86,198.0,101030.0
20080110:0800,5.07,85.6,11.0,22.56,10.0,272.3,5.93,199.0,101030.0
20080110:0900,5.46,82.5,68.0,51.44,60.0,274.2,5.86,196.0,100990.0
20080110:1000,6.29,82.55,107.0,42.33,97.0,288.55,6.07,196.0,100920.0
20080110:1100,7.1,82.6,179.0,181.51,128.0,283.9,5.72,195.0,100860.0
20080110:1200,7.91,79.7,228.0,418.55,108.0,297.65,6.14,194.0,100740.0
20080110:1300,8.73,82.75,97.0,15.81,93.0,295.9,6.14,196.0,100660.0
20080110:1400,9.44,82.9,73.0,27.44,68.0,310.8,8.21,203.0,100630.0
20080110:1500,10.15,79.95,30.0,50.56,26.0,334.8,7.86,209.0,100590.0
20080110:1600,10.34,77.1,0.0,-0.0,0.0,343.9,7.45,207.0,100560.0
20080110:1700,10.32,77.1,0.0,-0.0,0.0,332.5,7.45,204.0,100520.0
20080110:1800,10.23,77.1,0.0,-0.0,0.0,321.85,7.45,204.0,100480.0
20080110:1900,10.14,77.1,0.0,-0.0,0.0,327.25,7.24,204.0,100440.0
20080110:2000,10.05,77.1,0.0,-0.0,0.0,322.2,7.24,206.0,100430.0
20080110:2100,10.01,77.1,0.0,-0.0,0.0,324.55,7.1,206.0,100400.0
20080110:2200,9.99,77.1,0.0,-0.0,0.0,329.75,7.03,205.0,100400.0
20080110:2300,9.89,77.1,0.0,-0.0,0.0,328.4,7.1,203.0,100350.0
20080111:0000,9.84,82.9,0.0,-0.0,0.0,333.05,7.24,202.0,100320.0
20080111:0100,9.73,82.9,0.0,-0.0,0.0,341.7,7.38,202.0,100250.0
20080111:0200,9.5,85.95,0.0,-0.0,0.0,345.85,7.31,202.0,100200.0
20080111:0300,9.4,85.95,0.0,-0.0,0.0,346.0,7.24,203.0,100170.0
20080111:0400,9.28,89.1,0.0,-0.0,0.0,345.85,6.9,202.0,100110.0
20080111:0500,9.13,85.95,0.0,-0.0,0.0,342.15,6.48,197.0,100060.0
20080111:0600,8.97,85.95,0.0,-0.0,0.0,340.6,6.28,193.0,100010.0
20080111:0700,9.19,89.1,0.0,-0.0,0.0,346.2,5.66,193.0,99980.0
20080111:0800,8.98,89.1,17.0,87.32,13.0,336.75,5.31,184.0,99950.0
20080111:0900,8.88,85.95,30.0,0.0,30.0,322.2,5.79,181.0,99910.0
20080111:1000,9.32,82.85,35.0,0.0,35.0,305.2,6.21,182.0,99860.0
20080111:1100,10.21,74.3,174.0,162.34,128.0,293.95,6.28,182.0,99780.0
20080111:1200,10.77,74.4,114.0,17.28,109.0,301.7,6.41,180.0,99690.0
20080111:1300,11.09,71.75,20.0,0.0,20.0,317.75,6.62,182.0,99530.0
20080111:1400,11.28,71.75,46.0,0.0,46.0,320.3,6.62,184.0,99450.0
20080111:1500,10.76,74.4,22.0,12.17,21.0,334.8,6.62,187.0,99380.0
20080111:1600,10.18,77.1,0.0,-0.0,0.0,338.65,6.62,189.0,99370.0
20080111:1700,9.9,77.1,0.0,-0.0,0.0,347.0,6.55,192.0,99340.0
20080111:1800,9.7,82.9,0.0,-0.0,0.0,345.05,6.07,191.0,99300.0
20080111:1900,9.64,82.9,0.0,-0.0,0.0,344.65,4.69,185.0,99270.0
20080111:2000,9.33,85.95,0.0,-0.0,0.0,345.65,5.03,191.0,99270.0
20080111:2100,8.8,85.9,0.0,-0.0,0.0,341.2,5.17,189.0,99250.0
20080111:2200,8.31,85.85,0.0,-0.0,0.0,326.65,5.72,188.0,99270.0
20080111:2300,7.92,82.7,0.0,-0.0,0.0,315.65,5.93,189.0,99300.0
20080112:0000,7.54,82.65,0.0,-0.0,0.0,312.35,6.28,188.0,99250.0
20080112:0100,7.34,82.6,0.0,-0.0,0.0,318.85,6.69,188.0,99210.0
20080112:0200,7.08,82.6,0.0,-0.0,0.0,321.45,7.52,197.0,99210.0
20080112:0300,6.52,79.55,0.0,-0.0,0.0,329.4,7.86,205.0,99270.0
20080112:0400,6.12,79.5,0.0,-0.0,0.0,333.85,7.93,210.0,99320.0
20080112:0500,6.06,82.55,0.0,-0.0,0.0,331.9,7.31,220.0,99450.0
20080112:0600,6.02,85.7,0.0,-0.0,0.0,325.1,6.69,230.0,99610.0
20080112:0700,6.38,82.6,0.0,-0.0,0.0,335.75,6.21,260.0,99810.0
20080112:0800,6.1,85.7,12.0,21.1,11.0,331.3,6.9,274.0,100020.0
20080112:0900,5.84,85.65,57.0,18.85,54.0,331.1,6.69,279.0,100240.0
20080112:1000,5.99,82.55,92.0,16.63,88.0,326.5,5.59,275.0,100410.0
20080112:1100,6.39,79.55,229.0,419.81,109.0,291.65,6.21,272.0,100530.0
20080112:1200,6.77,76.65,242.0,472.46,104.0,265.5,6.21,267.0,100640.0
20080112:1300,6.7,76.65,227.0,594.99,73.0,267.05,5.24,257.0,100710.0
20080112:1400,6.49,73.8,119.0,212.4,79.0,262.6,4.48,250.0,100800.0
20080112:1500,6.0,73.7,51.0,292.81,26.0,248.1,3.59,241.0,100880.0
