time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140610:0400,18.13,92.85,22.0,12.12,21.0,371.4,2.0,150.0,101310.0
20140610:0500,18.29,96.1,162.0,382.04,75.0,377.55,1.86,184.0,101330.0
20140610:0600,18.89,92.9,322.0,592.26,98.0,371.4,1.52,185.0,101360.0
20140610:0700,21.69,87.0,485.0,714.16,111.0,344.65,2.0,160.0,101410.0
20140610:0800,22.98,84.25,585.0,614.44,183.0,353.4,2.21,220.0,101480.0
20140610:0900,23.71,76.3,734.0,770.05,148.0,372.55,3.31,253.0,101530.0
20140610:1000,24.08,76.3,794.0,711.18,199.0,369.65,3.66,266.0,101560.0
20140610:1100,23.74,71.35,722.0,422.36,352.0,387.25,3.31,262.0,101630.0
20140610:1200,23.68,71.35,88.0,0.0,88.0,390.35,3.03,262.0,101650.0
20140610:1300,23.82,71.35,295.0,3.58,292.0,390.75,3.03,262.0,101650.0
20140610:1400,22.71,73.6,133.0,0.0,133.0,385.7,3.52,258.0,101680.0
20140610:1500,21.59,78.55,164.0,0.0,164.0,389.0,2.97,279.0,101770.0
20140610:1600,21.44,73.35,143.0,0.0,143.0,396.15,2.69,309.0,101750.0
20140610:1700,20.99,75.85,142.0,15.72,136.0,382.8,2.48,326.0,101780.0
20140610:1800,20.04,81.15,23.0,0.0,23.0,372.95,2.0,336.0,101820.0
20140610:1900,20.2,83.95,23.0,11.66,22.0,359.95,2.14,287.0,101860.0
20140610:2000,19.4,83.9,0.0,-0.0,0.0,371.4,2.21,298.0,101940.0
20140610:2100,18.51,83.8,0.0,-0.0,0.0,360.35,2.21,302.0,102030.0
20140610:2200,17.64,80.9,0.0,-0.0,0.0,349.5,2.48,306.0,102080.0
20140610:2300,16.8,80.8,0.0,-0.0,0.0,344.65,2.41,309.0,102080.0
20140611:0000,15.91,83.55,0.0,-0.0,0.0,332.5,1.24,311.0,102140.0
20140611:0100,15.36,83.5,0.0,-0.0,0.0,323.1,0.9,269.0,102180.0
20140611:0200,14.18,86.4,0.0,-0.0,0.0,327.45,1.66,254.0,102190.0
20140611:0300,13.76,89.45,0.0,-0.0,0.0,328.05,1.66,244.0,102190.0
20140611:0400,13.55,89.45,4.0,0.0,4.0,327.45,1.38,252.0,102190.0
20140611:0500,14.37,92.7,26.0,0.0,26.0,325.9,1.31,274.0,102230.0
20140611:0600,15.84,80.65,330.0,607.5,100.0,323.95,1.79,291.0,102240.0
20140611:0700,16.05,80.65,502.0,751.85,108.0,356.5,1.52,300.0,102340.0
20140611:0800,16.95,75.3,651.0,808.14,122.0,357.25,1.52,300.0,102350.0
20140611:0900,17.99,67.95,765.0,819.58,141.0,343.1,1.52,306.0,102350.0
20140611:1000,19.46,61.4,883.0,918.67,114.0,322.4,1.93,307.0,102360.0
20140611:1100,20.58,57.3,845.0,691.33,239.0,318.35,2.34,306.0,102390.0
20140611:1200,21.25,53.6,888.0,818.54,170.0,322.6,2.48,304.0,102420.0
20140611:1300,21.6,53.6,842.0,805.9,166.0,329.2,2.69,304.0,102430.0
20140611:1400,21.65,50.05,776.0,841.49,133.0,333.85,3.03,305.0,102460.0
20140611:1500,21.38,49.95,636.0,752.07,141.0,335.0,3.31,310.0,102450.0
20140611:1600,20.87,51.65,502.0,740.22,111.0,328.8,3.52,316.0,102470.0
20140611:1700,20.01,53.35,336.0,623.88,97.0,321.25,3.59,324.0,102480.0
20140611:1800,19.07,57.1,174.0,434.07,73.0,314.1,3.17,331.0,102510.0
20140611:1900,18.09,61.2,49.0,252.16,27.0,308.3,2.28,342.0,102550.0
20140611:2000,16.73,67.75,0.0,-0.0,0.0,303.25,2.14,347.0,102580.0
20140611:2100,15.51,75.1,0.0,-0.0,0.0,297.45,2.21,351.0,102610.0
20140611:2200,14.39,80.45,0.0,-0.0,0.0,293.55,2.21,356.0,102620.0
20140611:2300,13.33,86.3,0.0,-0.0,0.0,289.3,2.07,2.0,102650.0
20140612:0000,12.22,92.6,0.0,-0.0,0.0,287.2,1.86,10.0,102630.0
20140612:0100,11.32,95.9,0.0,-0.0,0.0,285.55,1.72,17.0,102610.0
20140612:0200,10.79,95.9,0.0,-0.0,0.0,283.3,1.66,26.0,102590.0
20140612:0300,10.42,99.4,0.0,-0.0,0.0,282.95,1.59,31.0,102570.0
20140612:0400,10.3,99.4,41.0,155.6,28.0,281.75,1.45,38.0,102570.0
20140612:0500,11.55,95.9,184.0,520.62,65.0,284.1,1.03,47.0,102580.0
20140612:0600,14.19,86.4,286.0,366.85,147.0,293.55,0.97,54.0,102600.0
20140612:0700,16.15,72.65,488.0,694.26,124.0,299.4,1.38,52.0,102630.0
20140612:0800,17.72,61.05,640.0,769.64,136.0,302.85,1.59,54.0,102610.0
20140612:0900,18.87,57.1,764.0,812.7,145.0,309.45,1.72,46.0,102590.0
20140612:1000,19.9,55.3,691.0,397.63,358.0,312.15,2.07,32.0,102590.0
20140612:1100,20.74,51.65,687.0,321.53,405.0,326.1,2.55,26.0,102580.0
20140612:1200,21.21,49.95,678.0,304.18,411.0,338.1,2.55,22.0,102540.0
20140612:1300,21.67,46.6,724.0,468.1,331.0,345.25,2.55,18.0,102490.0
20140612:1400,21.88,46.6,661.0,484.95,290.0,362.65,2.62,17.0,102470.0
20140612:1500,22.01,48.3,602.0,614.35,197.0,351.45,2.69,14.0,102430.0
20140612:1600,21.99,48.3,474.0,610.13,151.0,343.3,2.76,9.0,102410.0
20140612:1700,21.66,48.3,268.0,275.77,162.0,338.85,2.97,3.0,102380.0
20140612:1800,20.69,57.45,147.0,230.73,93.0,328.2,3.1,357.0,102350.0
20140612:1900,19.04,68.1,39.0,112.81,29.0,333.85,3.31,352.0,102340.0
20140612:2000,17.62,70.35,0.0,-0.0,0.0,323.55,3.17,354.0,102360.0
20140612:2100,16.46,77.95,0.0,-0.0,0.0,315.85,2.97,359.0,102380.0
20140612:2200,15.59,80.65,0.0,-0.0,0.0,314.1,2.69,5.0,102380.0
20140612:2300,14.88,83.45,0.0,-0.0,0.0,312.35,2.48,10.0,102390.0
20140613:0000,14.25,86.4,0.0,-0.0,0.0,310.6,2.21,13.0,102350.0
20140613:0100,13.63,89.45,0.0,-0.0,0.0,308.0,2.0,14.0,102330.0
20140613:0200,12.9,92.6,0.0,-0.0,0.0,304.05,1.86,11.0,102250.0
20140613:0300,12.24,95.95,0.0,-0.0,0.0,302.5,1.86,4.0,102220.0
20140613:0400,11.73,95.9,38.0,107.23,29.0,299.75,1.86,357.0,102210.0
20140613:0500,12.73,95.95,176.0,467.55,69.0,300.15,1.66,352.0,102220.0
20140613:0600,15.02,86.45,327.0,601.4,99.0,303.05,1.93,356.0,102230.0
20140613:0700,16.89,78.0,485.0,697.83,119.0,313.1,2.21,6.0,102220.0
20140613:0800,18.23,65.65,570.0,532.79,221.0,317.95,2.69,8.0,102230.0
20140613:0900,19.17,59.25,713.0,661.51,209.0,321.65,2.9,3.0,102220.0
20140613:1000,20.03,57.3,735.0,513.27,305.0,325.7,3.1,357.0,102210.0
20140613:1100,20.9,53.5,715.0,386.33,376.0,326.3,3.45,359.0,102170.0
20140613:1200,21.42,51.75,869.0,775.33,188.0,365.95,3.38,358.0,102120.0
20140613:1300,21.48,51.75,666.0,353.46,369.0,378.95,3.52,352.0,102070.0
20140613:1400,21.41,53.6,652.0,475.28,288.0,377.55,3.72,346.0,102040.0
20140613:1500,21.14,55.55,524.0,383.21,271.0,379.3,4.14,343.0,102010.0
20140613:1600,20.7,57.45,406.0,358.15,216.0,372.95,4.28,343.0,101980.0
20140613:1700,20.29,59.35,294.0,394.2,142.0,346.2,4.14,343.0,101970.0
20140613:1800,19.58,63.6,173.0,412.2,76.0,332.1,3.52,343.0,101960.0
20140613:1900,18.17,65.65,44.0,166.75,29.0,325.3,3.31,343.0,101960.0
20140613:2000,16.82,70.2,0.0,-0.0,0.0,320.5,2.9,344.0,101960.0
20140613:2100,15.74,77.85,0.0,-0.0,0.0,317.95,2.55,345.0,101970.0
20140613:2200,14.86,83.45,0.0,-0.0,0.0,313.9,2.41,345.0,101970.0
20140613:2300,14.19,89.5,0.0,-0.0,0.0,314.5,2.21,345.0,101970.0
20140614:0000,13.7,92.65,0.0,-0.0,0.0,316.4,2.14,345.0,101950.0
20140614:0100,13.4,95.95,0.0,-0.0,0.0,320.0,2.14,345.0,101940.0
20140614:0200,13.4,95.95,0.0,-0.0,0.0,332.65,2.14,345.0,101930.0
20140614:0300,13.27,99.4,0.0,-0.0,0.0,329.0,2.21,348.0,101920.0
20140614:0400,13.18,95.95,4.0,0.0,4.0,326.5,2.34,352.0,101910.0
20140614:0500,13.63,92.65,103.0,61.13,89.0,332.5,2.83,358.0,101930.0
20140614:0600,14.4,86.4,320.0,548.46,112.0,331.5,3.31,5.0,101940.0
20140614:0700,15.64,80.65,285.0,85.78,240.0,342.35,3.86,4.0,101980.0
20140614:0800,16.4,75.25,322.0,45.79,292.0,330.55,3.93,4.0,101980.0
20140614:0900,17.03,70.2,519.0,196.83,369.0,343.5,3.86,3.0,101990.0
20140614:1000,17.55,65.45,377.0,22.67,358.0,342.15,3.79,359.0,101970.0
20140614:1100,17.95,61.05,379.0,17.09,364.0,349.1,4.14,357.0,101960.0
20140614:1200,18.27,56.95,820.0,622.42,273.0,350.3,4.41,358.0,101950.0
20140614:1300,18.49,54.95,248.0,0.0,248.0,360.55,4.69,358.0,101940.0
20140614:1400,18.53,53.0,550.0,242.61,364.0,371.55,4.97,357.0,101900.0
20140614:1500,18.43,53.0,308.0,34.79,285.0,355.9,5.03,359.0,101900.0
20140614:1600,17.95,56.85,306.0,112.88,246.0,348.75,5.1,1.0,101910.0
20140614:1700,17.36,58.8,277.0,307.71,158.0,336.35,4.97,1.0,101930.0
20140614:1800,16.71,58.7,169.0,372.06,81.0,332.1,4.48,1.0,101960.0
20140614:1900,16.03,67.55,43.0,131.61,31.0,339.25,4.07,349.0,102010.0
20140614:2000,14.97,72.4,0.0,-0.0,0.0,317.75,3.86,349.0,102050.0
20140614:2100,13.98,77.6,0.0,-0.0,0.0,301.1,3.66,353.0,102100.0
20140614:2200,13.17,80.35,0.0,-0.0,0.0,291.85,3.24,360.0,102130.0
20140614:2300,12.71,83.25,0.0,-0.0,0.0,300.55,2.9,3.0,102150.0
20140615:0000,12.25,86.2,0.0,-0.0,0.0,301.5,2.62,1.0,102170.0
20140615:0100,11.76,89.3,0.0,-0.0,0.0,296.6,2.62,357.0,102180.0
20140615:0200,11.54,89.3,0.0,-0.0,0.0,304.6,2.55,356.0,102190.0
20140615:0300,11.15,92.55,0.0,-0.0,0.0,294.75,2.41,359.0,102170.0
20140615:0400,10.95,95.9,14.0,0.0,14.0,295.9,2.28,358.0,102160.0
20140615:0500,11.64,89.3,47.0,0.0,47.0,293.2,2.21,355.0,102170.0
20140615:0600,13.26,83.25,79.0,0.0,79.0,296.65,2.83,357.0,102170.0
20140615:0700,14.25,74.95,132.0,0.0,132.0,341.0,3.17,10.0,102250.0
20140615:0800,14.98,72.4,179.0,0.0,179.0,357.85,3.24,4.0,102260.0
20140615:0900,15.6,67.55,380.0,43.3,347.0,375.05,3.38,2.0,102260.0
20140615:1000,16.52,62.95,545.0,151.51,418.0,370.2,3.45,3.0,102250.0
20140615:1100,17.29,58.8,561.0,137.79,440.0,372.95,3.38,6.0,102220.0
20140615:1200,17.87,56.85,533.0,109.18,437.0,372.35,3.17,8.0,102190.0
20140615:1300,18.23,53.0,457.0,65.36,402.0,378.35,3.1,7.0,102160.0
20140615:1400,18.52,53.0,366.0,33.88,340.0,373.3,3.1,6.0,102140.0
20140615:1500,18.74,51.25,297.0,27.19,279.0,362.65,3.45,1.0,102120.0
20140615:1600,18.55,54.95,383.0,274.16,237.0,366.35,3.93,354.0,102100.0
20140615:1700,17.99,61.05,282.0,322.34,157.0,349.3,4.34,353.0,102090.0
20140615:1800,17.24,65.45,163.0,311.41,89.0,338.85,4.21,352.0,102130.0
20140615:1900,15.86,70.0,42.0,108.33,32.0,331.7,4.55,350.0,102150.0
20140615:2000,14.54,72.4,0.0,-0.0,0.0,308.5,4.07,355.0,102200.0
20140615:2100,13.57,77.6,0.0,-0.0,0.0,304.6,3.79,0.0,102250.0
20140615:2200,12.77,80.3,0.0,-0.0,0.0,297.85,3.38,5.0,102290.0
20140615:2300,12.08,80.2,0.0,-0.0,0.0,293.75,2.9,8.0,102290.0
20140616:0000,11.41,86.1,0.0,-0.0,0.0,289.3,2.55,5.0,102280.0
20140616:0100,10.75,86.05,0.0,-0.0,0.0,280.5,2.41,1.0,102270.0
20140616:0200,10.39,89.2,0.0,-0.0,0.0,289.9,2.34,358.0,102250.0
20140616:0300,9.95,92.45,0.0,-0.0,0.0,284.1,2.28,358.0,102220.0
20140616:0400,9.88,92.45,10.0,0.0,10.0,292.6,2.14,0.0,102220.0
20140616:0500,10.77,89.25,66.0,4.36,65.0,298.6,1.79,360.0,102230.0
20140616:0600,12.47,83.15,165.0,34.28,152.0,315.65,1.72,1.0,102220.0
20140616:0700,13.65,77.6,237.0,32.41,220.0,329.2,1.66,360.0,102250.0
20140616:0800,14.89,67.35,388.0,114.47,313.0,342.15,2.76,6.0,102240.0
20140616:0900,15.66,65.15,389.0,51.17,350.0,359.75,3.17,6.0,102210.0
20140616:1000,15.92,70.0,168.0,0.0,168.0,373.5,3.31,359.0,102180.0
20140616:1100,16.28,70.1,295.0,1.14,294.0,376.4,3.86,352.0,102170.0
20140616:1200,16.22,72.65,158.0,0.0,158.0,377.4,4.41,352.0,102150.0
20140616:1300,16.35,72.65,503.0,106.89,413.0,380.1,4.41,352.0,102110.0
20140616:1400,16.59,70.2,399.0,57.29,355.0,380.45,4.62,352.0,102090.0
20140616:1500,16.97,67.75,315.0,39.23,289.0,373.1,5.17,354.0,102060.0
20140616:1600,16.9,67.75,142.0,0.0,142.0,369.85,5.1,353.0,102040.0
20140616:1700,16.76,70.2,69.0,0.0,69.0,360.35,5.03,352.0,102030.0
20140616:1800,16.24,72.65,68.0,4.19,67.0,359.0,4.69,349.0,102040.0
20140616:1900,15.14,75.1,24.0,10.71,23.0,339.45,4.14,346.0,102070.0
20140616:2000,14.34,80.45,0.0,-0.0,0.0,339.25,3.79,344.0,102070.0
20140616:2100,13.47,83.25,0.0,-0.0,0.0,315.25,3.45,343.0,102090.0
20140616:2200,12.92,86.25,0.0,-0.0,0.0,311.4,3.38,346.0,102080.0
20140616:2300,12.51,89.35,0.0,-0.0,0.0,308.65,3.38,352.0,102110.0
20140617:0000,12.21,86.2,0.0,-0.0,0.0,313.7,3.24,357.0,102090.0
20140617:0100,12.15,86.2,0.0,-0.0,0.0,331.25,3.03,356.0,102110.0
20140617:0200,11.99,86.15,0.0,-0.0,0.0,332.1,2.83,353.0,102090.0
20140617:0300,11.89,86.15,0.0,-0.0,0.0,333.05,2.41,348.0,102060.0
20140617:0400,11.8,86.15,6.0,0.0,6.0,333.65,2.07,335.0,102050.0
20140617:0500,12.47,83.15,34.0,0.0,34.0,355.3,1.93,327.0,102060.0
20140617:0600,13.38,80.35,92.0,0.0,92.0,363.65,2.48,332.0,102080.0
20140617:0700,14.16,80.45,150.0,0.0,150.0,353.2,2.9,345.0,102160.0
20140617:0800,15.2,77.8,302.0,32.06,281.0,365.2,4.07,359.0,102160.0
20140617:0900,16.41,72.65,449.0,103.65,370.0,376.4,4.34,9.0,102140.0
20140617:1000,17.28,67.85,322.0,7.16,316.0,380.1,3.79,9.0,102140.0
20140617:1100,17.84,65.55,232.0,0.0,232.0,382.8,3.79,1.0,102110.0
20140617:1200,17.93,67.95,272.0,0.0,272.0,383.4,4.21,358.0,102100.0
20140617:1300,17.82,70.35,402.0,33.23,374.0,387.45,4.55,354.0,102070.0
20140617:1400,18.07,70.35,290.0,6.5,285.0,381.85,5.24,357.0,102040.0
20140617:1500,18.09,68.05,310.0,34.66,287.0,368.45,5.1,353.0,102030.0
20140617:1600,17.8,70.35,270.0,59.9,238.0,361.1,5.03,351.0,102030.0
20140617:1700,17.32,70.3,225.0,130.88,174.0,353.2,4.9,351.0,102030.0
20140617:1800,16.64,72.7,158.0,275.45,92.0,347.75,4.55,352.0,102030.0
20140617:1900,16.08,72.65,41.0,95.45,32.0,353.0,4.62,354.0,102050.0
20140617:2000,15.14,75.1,0.0,-0.0,0.0,349.5,4.14,358.0,102090.0
20140617:2100,14.35,80.45,0.0,-0.0,0.0,344.3,3.86,0.0,102120.0
20140617:2200,13.51,86.3,0.0,-0.0,0.0,326.5,3.66,4.0,102160.0
20140617:2300,12.89,86.25,0.0,-0.0,0.0,324.15,3.38,8.0,102160.0
20140618:0000,12.23,86.2,0.0,-0.0,0.0,310.6,3.1,4.0,102170.0
20140618:0100,11.52,89.3,0.0,-0.0,0.0,296.2,2.9,4.0,102140.0
20140618:0200,10.89,92.5,0.0,-0.0,0.0,285.45,2.55,7.0,102140.0
20140618:0300,10.42,95.9,0.0,-0.0,0.0,286.2,2.34,6.0,102130.0
20140618:0400,10.41,95.9,38.0,106.75,29.0,301.9,2.14,1.0,102140.0
20140618:0500,10.92,95.9,169.0,406.4,76.0,288.15,1.72,359.0,102150.0
20140618:0600,12.86,86.25,261.0,266.58,160.0,302.65,1.79,4.0,102180.0
20140618:0700,14.49,77.65,395.0,330.03,222.0,332.65,3.1,26.0,102220.0
20140618:0800,15.62,70.0,531.0,406.17,265.0,345.85,2.97,28.0,102220.0
20140618:0900,16.64,67.75,452.0,107.6,370.0,347.0,3.17,23.0,102190.0
20140618:1000,17.34,67.85,168.0,0.0,168.0,365.0,3.17,12.0,102180.0
20140618:1100,17.81,67.95,291.0,1.14,290.0,376.2,3.1,3.0,102140.0
20140618:1200,18.06,67.95,184.0,0.0,184.0,386.65,3.24,356.0,102150.0
20140618:1300,18.2,65.65,169.0,0.0,169.0,383.4,3.38,354.0,102120.0
20140618:1400,18.51,68.05,317.0,13.0,307.0,383.95,3.45,352.0,102080.0
20140618:1500,18.81,63.5,326.0,45.17,296.0,377.95,3.72,349.0,102060.0
20140618:1600,18.51,68.05,346.0,181.3,249.0,359.55,4.07,348.0,102020.0
20140618:1700,18.22,68.05,232.0,148.53,174.0,362.5,4.14,349.0,102030.0
20140618:1800,17.48,72.8,170.0,353.49,85.0,360.55,3.52,347.0,102010.0
20140618:1900,16.72,75.3,35.0,52.55,30.0,350.1,3.31,345.0,101990.0
20140618:2000,15.45,80.6,0.0,-0.0,0.0,328.2,3.1,344.0,102010.0
20140618:2100,14.47,86.4,0.0,-0.0,0.0,328.2,2.9,344.0,102030.0
20140618:2200,13.45,92.65,0.0,-0.0,0.0,310.2,2.62,344.0,102060.0
20140618:2300,12.68,92.6,0.0,-0.0,0.0,306.75,2.34,344.0,102060.0
20140619:0000,12.1,95.95,0.0,-0.0,0.0,306.75,2.0,344.0,102060.0
20140619:0100,11.56,95.9,0.0,-0.0,0.0,303.55,1.79,339.0,102020.0
20140619:0200,11.12,95.9,0.0,-0.0,0.0,310.05,1.59,331.0,102000.0
20140619:0300,10.63,99.4,0.0,-0.0,0.0,311.0,1.59,326.0,101950.0
20140619:0400,10.27,99.4,6.0,0.0,6.0,306.95,1.66,323.0,101930.0
20140619:0500,11.09,95.9,33.0,0.0,33.0,301.1,1.38,320.0,101920.0
20140619:0600,13.1,89.4,111.0,2.64,110.0,305.55,1.52,318.0,101920.0
20140619:0700,14.82,72.4,250.0,45.81,226.0,336.95,2.14,330.0,101980.0
20140619:0800,15.58,67.55,411.0,151.22,312.0,341.4,2.21,330.0,101970.0
20140619:0900,16.2,65.25,382.0,47.25,346.0,367.9,2.21,328.0,101930.0
20140619:1000,16.97,65.35,555.0,170.57,412.0,375.05,2.28,327.0,101910.0
20140619:1100,17.73,61.05,605.0,198.0,431.0,375.65,2.48,321.0,101880.0
20140619:1200,18.47,59.05,564.0,145.38,436.0,375.85,3.1,319.0,101860.0
20140619:1300,18.83,57.1,532.0,138.75,415.0,377.75,3.66,319.0,101840.0
20140619:1400,18.18,59.05,454.0,106.54,372.0,378.55,4.14,321.0,101830.0
20140619:1500,17.51,65.45,127.0,0.0,127.0,365.95,4.28,324.0,101820.0
20140619:1600,17.15,65.45,84.0,0.0,84.0,362.65,4.34,328.0,101800.0
20140619:1700,16.75,65.35,35.0,0.0,35.0,362.65,4.28,333.0,101820.0
20140619:1800,16.17,67.65,46.0,0.0,46.0,370.2,4.07,337.0,101820.0
20140619:1900,15.05,75.0,5.0,0.0,5.0,367.9,3.72,342.0,101830.0
20140619:2000,14.55,75.0,0.0,-0.0,0.0,357.85,3.38,343.0,101840.0
20140619:2100,14.01,80.4,0.0,-0.0,0.0,348.15,3.1,340.0,101870.0
20140619:2200,13.43,83.25,0.0,-0.0,0.0,338.5,2.76,333.0,101870.0
20140619:2300,12.74,86.25,0.0,-0.0,0.0,320.65,2.41,323.0,101840.0
20140620:0000,12.27,86.2,0.0,-0.0,0.0,321.05,2.21,311.0,101800.0
20140620:0100,11.75,89.3,0.0,-0.0,0.0,309.55,2.28,303.0,101810.0
20140620:0200,11.31,92.55,0.0,-0.0,0.0,302.85,2.28,298.0,101780.0
20140620:0300,11.22,92.55,0.0,-0.0,0.0,312.15,2.28,299.0,101770.0
20140620:0400,11.44,92.55,6.0,0.0,6.0,325.5,2.21,305.0,101740.0
20140620:0500,12.19,86.2,30.0,0.0,30.0,340.0,2.07,311.0,101750.0
20140620:0600,13.04,83.25,150.0,21.15,142.0,345.05,2.34,316.0,101770.0
20140620:0700,14.07,74.95,208.0,15.28,200.0,326.1,4.07,338.0,101840.0
20140620:0800,14.76,69.85,212.0,1.53,211.0,344.65,4.34,341.0,101840.0
20140620:0900,15.35,67.45,316.0,14.44,305.0,345.45,4.21,343.0,101850.0
20140620:1000,16.01,62.85,464.0,75.16,401.0,359.0,4.34,343.0,101860.0
20140620:1100,16.66,58.7,95.0,0.0,95.0,362.85,4.14,343.0,101870.0
20140620:1200,16.61,56.6,524.0,103.33,433.0,367.1,4.0,343.0,101850.0
20140620:1300,17.2,54.7,140.0,0.0,140.0,348.35,4.14,341.0,101840.0
20140620:1400,17.29,54.7,227.0,0.0,227.0,358.4,4.14,339.0,101830.0
20140620:1500,17.39,54.7,236.0,4.51,233.0,355.5,4.28,336.0,101810.0
20140620:1600,17.09,54.7,208.0,13.05,201.0,353.75,4.55,334.0,101810.0
20140620:1700,16.62,56.6,245.0,183.71,173.0,355.5,4.48,335.0,101810.0
20140620:1800,16.04,62.85,88.0,20.67,83.0,338.3,4.0,336.0,101830.0
20140620:1900,14.96,69.85,31.0,20.71,29.0,319.7,2.9,339.0,101850.0
20140620:2000,13.95,74.85,0.0,-0.0,0.0,312.95,2.62,338.0,101850.0
20140620:2100,12.98,80.3,0.0,-0.0,0.0,305.4,2.21,336.0,101870.0
20140620:2200,12.06,83.15,0.0,-0.0,0.0,293.4,2.0,329.0,101850.0
20140620:2300,11.16,92.55,0.0,-0.0,0.0,287.75,1.86,320.0,101840.0
20140621:0000,10.23,95.9,0.0,-0.0,0.0,284.1,1.93,312.0,101830.0
20140621:0100,9.53,95.85,0.0,-0.0,0.0,284.8,1.86,302.0,101830.0
20140621:0200,8.91,95.85,0.0,-0.0,0.0,282.95,1.86,292.0,101820.0
20140621:0300,8.57,95.85,0.0,-0.0,0.0,289.1,1.79,287.0,101800.0
20140621:0400,8.55,95.85,37.0,107.98,28.0,293.4,1.66,283.0,101780.0
20140621:0500,10.33,99.4,126.0,140.52,94.0,309.05,1.03,281.0,101790.0
20140621:0600,12.81,89.4,305.0,473.89,126.0,317.55,1.03,284.0,101800.0
20140621:0700,14.22,83.4,478.0,661.43,132.0,326.5,1.03,293.0,101820.0
20140621:0800,15.53,75.1,567.0,518.37,228.0,331.9,1.24,291.0,101820.0
20140621:0900,16.58,67.75,503.0,173.36,371.0,341.95,1.31,292.0,101800.0
20140621:1000,17.82,61.05,360.0,16.7,346.0,355.9,1.72,302.0,101800.0
20140621:1100,18.44,59.05,506.0,87.62,429.0,343.9,2.0,299.0,101770.0
20140621:1200,18.84,57.1,643.0,247.52,425.0,375.45,1.86,286.0,101740.0
20140621:1300,19.31,53.25,460.0,68.74,402.0,381.45,2.07,281.0,101710.0
20140621:1400,19.96,51.5,357.0,29.85,334.0,363.45,2.41,282.0,101670.0
20140621:1500,20.3,51.5,473.0,244.82,310.0,368.45,2.69,285.0,101640.0
20140621:1600,20.18,53.35,381.0,264.49,239.0,374.85,2.97,290.0,101620.0
20140621:1700,19.94,55.3,304.0,407.64,144.0,364.2,2.83,297.0,101610.0
20140621:1800,19.45,61.4,182.0,432.98,77.0,350.1,2.34,302.0,101610.0
20140621:1900,18.09,65.65,44.0,113.26,33.0,336.15,2.07,309.0,101610.0
20140621:2000,16.93,72.7,0.0,-0.0,0.0,341.55,2.0,313.0,101630.0
20140621:2100,15.86,77.85,0.0,-0.0,0.0,335.4,2.0,320.0,101660.0
20140621:2200,15.2,83.5,0.0,-0.0,0.0,347.2,1.86,329.0,101670.0
20140621:2300,14.52,89.5,0.0,-0.0,0.0,342.55,1.86,339.0,101680.0
20140622:0000,13.99,92.65,0.0,-0.0,0.0,343.9,1.86,346.0,101700.0
20140622:0100,13.25,95.95,0.0,-0.0,0.0,327.75,1.93,352.0,101720.0
20140622:0200,12.68,95.95,0.0,-0.0,0.0,322.2,1.93,359.0,101730.0
20140622:0300,12.0,99.4,0.0,-0.0,0.0,304.4,1.93,4.0,101750.0
20140622:0400,11.44,99.35,40.0,144.86,28.0,296.5,1.86,9.0,101740.0
20140622:0500,11.94,99.4,180.0,501.8,66.0,295.3,1.45,10.0,101790.0
20140622:0600,13.59,89.45,333.0,628.36,96.0,293.4,1.72,15.0,101830.0
20140622:0700,15.3,80.6,477.0,660.17,132.0,305.95,1.45,30.0,101880.0
20140622:0800,16.81,67.75,597.0,621.24,191.0,312.55,1.59,23.0,101920.0
20140622:0900,17.93,58.9,710.0,643.83,220.0,316.2,1.86,12.0,101920.0
20140622:1000,18.95,55.05,691.0,403.4,353.0,319.9,2.21,6.0,101940.0
20140622:1100,19.83,49.7,557.0,136.56,437.0,332.3,2.48,2.0,101930.0
20140622:1200,20.46,49.7,690.0,326.98,402.0,336.95,2.97,360.0,101920.0
20140622:1300,20.75,48.05,580.0,196.69,414.0,355.7,3.17,0.0,101910.0
20140622:1400,20.51,51.5,651.0,450.19,304.0,372.15,3.45,1.0,101930.0
20140622:1500,20.51,51.5,531.0,379.77,278.0,354.35,3.45,360.0,101940.0
20140622:1600,20.1,51.5,411.0,349.87,223.0,367.9,3.31,360.0,101940.0
20140622:1700,19.72,51.5,319.0,480.91,130.0,345.85,3.24,2.0,101950.0
20140622:1800,19.06,57.1,178.0,395.05,82.0,323.55,3.03,6.0,101960.0
20140622:1900,17.44,63.2,56.0,245.93,32.0,311.55,3.03,7.0,102030.0
20140622:2000,16.07,65.25,0.0,-0.0,0.0,311.4,2.62,10.0,102060.0
20140622:2100,14.82,75.0,0.0,-0.0,0.0,302.65,2.41,15.0,102100.0
20140622:2200,13.85,80.4,0.0,-0.0,0.0,299.75,2.28,22.0,102140.0
20140622:2300,12.97,86.25,0.0,-0.0,0.0,294.75,2.21,31.0,102150.0
20140623:0000,12.16,89.35,0.0,-0.0,0.0,290.85,2.21,40.0,102130.0
20140623:0100,11.44,92.55,0.0,-0.0,0.0,288.65,2.21,46.0,102130.0
20140623:0200,10.91,92.5,0.0,-0.0,0.0,289.5,2.07,53.0,102110.0
20140623:0300,10.43,95.9,0.0,-0.0,0.0,291.65,1.93,65.0,102090.0
20140623:0400,10.04,92.5,38.0,121.61,28.0,295.5,1.72,79.0,102090.0
20140623:0500,10.75,95.9,173.0,459.08,69.0,297.85,1.31,92.0,102120.0
