Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3345E+03 .1064E+01 .1389E+00 .2129E+00 .1224E+00 .1343E+00 .2567E+00
.3350E+03 .9759E+00 .1308E+00 .2002E+00 .1153E+00 .1263E+00 .2416E+00
.3355E+03 .1097E+01 .1498E+00 .2353E+00 .1320E+00 .1482E+00 .2802E+00
.3360E+03 .7568E+00 .1044E+00 .1624E+00 .9202E-01 .1024E+00 .1944E+00
.3365E+03 .9260E+00 .1271E+00 .1873E+00 .1120E+00 .1184E+00 .2304E+00
.3370E+03 .7701E+00 .1054E+00 .1528E+00 .9295E-01 .9663E-01 .1896E+00
.3375E+03 .9611E+00 .1324E+00 .1893E+00 .1167E+00 .1198E+00 .2365E+00
.3380E+03 .9070E+00 .1293E+00 .1854E+00 .1140E+00 .1173E+00 .2313E+00
.3385E+03 .1013E+01 .1472E+00 .2151E+00 .1297E+00 .1360E+00 .2657E+00
.3390E+03 .1004E+01 .1478E+00 .2116E+00 .1303E+00 .1339E+00 .2642E+00
.3395E+03 .9599E+00 .1426E+00 .2034E+00 .1257E+00 .1288E+00 .2545E+00
.3400E+03 .1159E+01 .1719E+00 .2366E+00 .1516E+00 .1501E+00 .3016E+00
.3405E+03 .1040E+01 .1560E+00 .2128E+00 .1375E+00 .1351E+00 .2726E+00
.3410E+03 .9865E+00 .1510E+00 .2081E+00 .1331E+00 .1320E+00 .2651E+00
.3415E+03 .9087E+00 .1411E+00 .1895E+00 .1244E+00 .1204E+00 .2447E+00
.3420E+03 .1085E+01 .1702E+00 .2256E+00 .1500E+00 .1434E+00 .2934E+00
.3425E+03 .1013E+01 .1607E+00 .2102E+00 .1417E+00 .1337E+00 .2754E+00
.3430E+03 .1109E+01 .1771E+00 .2312E+00 .1561E+00 .1471E+00 .3032E+00
.3435E+03 .1041E+01 .1672E+00 .2176E+00 .1474E+00 .1385E+00 .2858E+00
.3440E+03 .7843E+00 .1256E+00 .1598E+00 .1107E+00 .1018E+00 .2125E+00
.3445E+03 .7690E+00 .1254E+00 .1624E+00 .1105E+00 .1034E+00 .2139E+00
.3450E+03 .1021E+01 .1693E+00 .2128E+00 .1492E+00 .1357E+00 .2849E+00
.3455E+03 .1042E+01 .1748E+00 .2161E+00 .1541E+00 .1379E+00 .2920E+00
.3460E+03 .8841E+00 .1499E+00 .1829E+00 .1322E+00 .1168E+00 .2490E+00
.3465E+03 .9994E+00 .1712E+00 .2064E+00 .1509E+00 .1319E+00 .2828E+00
.3470E+03 .1068E+01 .1842E+00 .2214E+00 .1624E+00 .1416E+00 .3040E+00
.3475E+03 .8610E+00 .1497E+00 .1787E+00 .1320E+00 .1143E+00 .2463E+00
.3480E+03 .9821E+00 .1726E+00 .2026E+00 .1522E+00 .1297E+00 .2819E+00
.3485E+03 .9814E+00 .1741E+00 .2016E+00 .1534E+00 .1292E+00 .2826E+00
.3490E+03 .9083E+00 .1627E+00 .1864E+00 .1434E+00 .1195E+00 .2629E+00
.3495E+03 .8964E+00 .1621E+00 .1841E+00 .1429E+00 .1181E+00 .2610E+00
.3500E+03 .1106E+01 .2018E+00 .2270E+00 .1779E+00 .1457E+00 .3236E+00
.3505E+03 .1165E+01 .2142E+00 .2388E+00 .1888E+00 .1534E+00 .3422E+00
.3510E+03 .1038E+01 .1922E+00 .2129E+00 .1694E+00 .1368E+00 .3062E+00
.3515E+03 .1004E+01 .1868E+00 .2072E+00 .1647E+00 .1331E+00 .2978E+00
.3520E+03 .1078E+01 .2027E+00 .2213E+00 .1787E+00 .1424E+00 .3211E+00
.3525E+03 .8401E+00 .1596E+00 .1719E+00 .1407E+00 .1107E+00 .2514E+00
.3530E+03 .1056E+01 .2025E+00 .2158E+00 .1785E+00 .1390E+00 .3176E+00
.3535E+03 .1128E+01 .2180E+00 .2300E+00 .1922E+00 .1483E+00 .3405E+00
.3540E+03 .1170E+01 .2278E+00 .2381E+00 .2008E+00 .1536E+00 .3544E+00
.3545E+03 .1185E+01 .2323E+00 .2407E+00 .2048E+00 .1554E+00 .3602E+00
.3550E+03 .1179E+01 .2328E+00 .2393E+00 .2052E+00 .1546E+00 .3598E+00
.3555E+03 .1062E+01 .2116E+00 .2156E+00 .1866E+00 .1393E+00 .3259E+00
.3560E+03 .1109E+01 .2228E+00 .2249E+00 .1964E+00 .1455E+00 .3418E+00
.3565E+03 .9461E+00 .1913E+00 .1915E+00 .1686E+00 .1239E+00 .2926E+00
.3570E+03 .7813E+00 .1589E+00 .1578E+00 .1401E+00 .1022E+00 .2423E+00
.3575E+03 .9556E+00 .1957E+00 .1926E+00 .1725E+00 .1248E+00 .2973E+00
.3580E+03 .7563E+00 .1560E+00 .1522E+00 .1375E+00 .9868E-01 .2362E+00
.3585E+03 .6456E+00 .1340E+00 .1297E+00 .1181E+00 .8413E-01 .2023E+00
.3590E+03 .9020E+00 .1884E+00 .1809E+00 .1661E+00 .1174E+00 .2835E+00
.3595E+03 .1148E+01 .2412E+00 .2300E+00 .2126E+00 .1494E+00 .3620E+00
.3600E+03 .1216E+01 .2572E+00 .2431E+00 .2267E+00 .1580E+00 .3847E+00
.3605E+03 .9705E+00 .2067E+00 .1937E+00 .1822E+00 .1260E+00 .3082E+00
.3610E+03 .8828E+00 .1895E+00 .1761E+00 .1671E+00 .1146E+00 .2817E+00
.3615E+03 .1013E+01 .2195E+00 .2022E+00 .1935E+00 .1317E+00 .3252E+00
.3620E+03 .8725E+00 .1910E+00 .1744E+00 .1683E+00 .1137E+00 .2820E+00
.3625E+03 .1203E+01 .2658E+00 .2408E+00 .2343E+00 .1570E+00 .3913E+00
.3630E+03 .1078E+01 .2401E+00 .2157E+00 .2116E+00 .1407E+00 .3524E+00
.3635E+03 .9897E+00 .2224E+00 .1981E+00 .1960E+00 .1294E+00 .3254E+00
.3640E+03 .1207E+01 .2734E+00 .2417E+00 .2410E+00 .1579E+00 .3989E+00
.3645E+03 .1030E+01 .2349E+00 .2060E+00 .2071E+00 .1347E+00 .3418E+00
