angle,date,hour,power
38,2024-05-04,18,1.6600467585907854
38,2024-05-04,19,0.0
38,2024-05-04,20,0.0
38,2024-05-04,21,0.0
38,2024-05-05,6,
38,2024-05-05,7,124.55021704354536
38,2024-05-05,8,194.97920875014898
38,2024-05-05,9,145.38591810262199
38,2024-05-05,10,67.72227275202965
38,2024-05-05,11,45.53258793294684
38,2024-05-05,12,53.750411178173245
38,2024-05-05,13,42.94196804350082
38,2024-05-05,14,25.99494281648069
38,2024-05-05,15,20.798066423226786
38,2024-05-05,16,14.987385057786618
38,2024-05-05,17,7.652164067784186
38,2024-05-05,18,3.3327155702654156
38,2024-05-05,19,0.0
38,2024-05-05,20,0.0
38,2024-05-05,21,0.0
38,2024-05-06,6,
38,2024-05-06,7,79.31188496567125
38,2024-05-06,8,109.02953674721343
38,2024-05-06,9,80.36031884945703
38,2024-05-06,10,37.22471492274843
38,2024-05-06,11,35.686816038241886
38,2024-05-06,12,36.89368068275438
38,2024-05-06,13,38.37868563570294
38,2024-05-06,14,48.19990705345562
38,2024-05-06,15,39.803639251748194
38,2024-05-06,16,45.056956713000844
38,2024-05-06,17,16.272071132095935
38,2024-05-06,18,4.07250317659889
38,2024-05-06,19,0.0
38,2024-05-06,20,0.0
38,2024-05-06,21,0.0
38,2024-05-07,6,
38,2024-05-07,7,213.28992349942735
38,2024-05-07,8,285.57660126879625
38,2024-05-07,9,146.06214534460287
38,2024-05-07,10,210.4178673117437
38,2024-05-07,11,201.58093503827268
38,2024-05-07,12,204.20833675311206
38,2024-05-07,13,231.66644519735684
38,2024-05-07,14,133.45263023900864
38,2024-05-07,15,102.07450612938953
38,2024-05-07,16,51.85099903726374
38,2024-05-07,17,25.59435720993364
38,2024-05-07,18,4.75706205570108
38,2024-05-07,19,0.0
38,2024-05-07,20,0.0
38,2024-05-07,21,0.0
38,2024-05-08,6,
38,2024-05-08,7,401.94958185009847
38,2024-05-08,8,375.7669444987451
38,2024-05-08,9,288.3710157444255
38,2024-05-08,10,349.89471489611
38,2024-05-08,11,55.81703610928884
38,2024-05-08,12,197.62518645595466
38,2024-05-08,13,46.945308809210474
38,2024-05-08,14,31.178079630434258
38,2024-05-08,15,74.57624176980252
38,2024-05-08,16,94.66488988586893
38,2024-05-08,17,30.41101232872086
38,2024-05-08,18,4.249945569076331
38,2024-05-08,19,0.0
38,2024-05-08,20,0.0
38,2024-05-08,21,0.0
38,2024-05-09,6,
38,2024-05-09,7,276.1953333191111
38,2024-05-09,8,374.37979778423994
38,2024-05-09,9,355.0332823473494
38,2024-05-09,10,334.0733477291249
38,2024-05-09,11,311.5585347739628
38,2024-05-09,12,211.70019755556334
38,2024-05-09,13,67.3086410732241
38,2024-05-09,14,64.20664336763184
38,2024-05-09,15,18.106385300075992
38,2024-05-09,16,13.973360714423166
38,2024-05-09,17,4.389209511755035
38,2024-05-09,18,5.129197925647155
38,2024-05-09,19,0.0
38,2024-05-09,20,0.0
38,2024-05-09,21,0.0
38,2024-05-10,6,
38,2024-05-10,7,396.151973817308
38,2024-05-10,8,361.1470660480106
38,2024-05-10,9,363.8558206979282
38,2024-05-10,10,357.57918018224166
38,2024-05-10,11,340.0376510665275
38,2024-05-10,12,304.26441241544705
38,2024-05-10,13,260.32710749608106
