angle,date,hour,power
90,2024-04-08,10,170.22048014249256
90,2024-04-08,11,215.89922100728032
90,2024-04-08,12,232.21608048408848
90,2024-04-08,13,234.10151658999968
90,2024-04-08,14,238.96376826568178
90,2024-04-08,15,195.10447637954837
90,2024-04-08,16,136.21372686430283
90,2024-04-08,17,66.12250170568271
90,2024-04-08,18,0.0
90,2024-04-08,19,0.0
90,2024-04-08,20,0.0
90,2024-04-08,21,
90,2024-04-09,6,
90,2024-04-09,7,
90,2024-04-09,8,32.97555998072072
90,2024-04-09,9,102.81687017500323
90,2024-04-09,10,176.1771296645771
90,2024-04-09,11,218.53169022777246
90,2024-04-09,12,230.334130592526
90,2024-04-09,13,235.4845483162024
90,2024-04-09,14,239.09473926732386
90,2024-04-09,15,198.73775072905067
90,2024-04-09,16,142.05076842505065
90,2024-04-09,17,72.48445929321386
90,2024-04-09,18,0.4905015220373802
90,2024-04-09,19,0.0
90,2024-04-09,20,0.0
90,2024-04-09,21,
90,2024-04-10,6,
90,2024-04-10,7,12.49347178776744
90,2024-04-10,8,32.44306768895653
90,2024-04-10,9,32.72813476494885
90,2024-04-10,10,27.34289642850704
90,2024-04-10,11,92.76225509925364
90,2024-04-10,12,122.63249091413371
90,2024-04-10,13,110.00279040199092
90,2024-04-10,14,97.5133091127139
90,2024-04-10,15,107.97755571101133
90,2024-04-10,16,82.92590078639208
90,2024-04-10,17,69.42143029990314
90,2024-04-10,18,0.721909324225799
90,2024-04-10,19,0.0
90,2024-04-10,20,0.0
90,2024-04-10,21,
90,2024-04-11,6,
90,2024-04-11,7,20.392955817492265
90,2024-04-11,8,38.39779055365615
90,2024-04-11,9,95.93910412504621
90,2024-04-11,10,156.62716133996926
90,2024-04-11,11,109.84667201993754
90,2024-04-11,12,155.82621024719575
90,2024-04-11,13,23.079315965227938
90,2024-04-11,14,134.30788734928117
90,2024-04-11,15,96.48901039238429
90,2024-04-11,16,99.09817687957192
90,2024-04-11,17,56.256770915805184
90,2024-04-11,18,0.9448343649474059
90,2024-04-11,19,0.0
90,2024-04-11,20,0.0
90,2024-04-11,21,
90,2024-04-12,6,
90,2024-04-12,7,56.357711556863435
90,2024-04-12,8,38.0409349648459
90,2024-04-12,9,66.2735959998801
90,2024-04-12,10,94.6482237691604
90,2024-04-12,11,96.69846984890486
90,2024-04-12,12,93.373265071586
90,2024-04-12,13,93.11402320239188
90,2024-04-12,14,91.63904557538281
90,2024-04-12,15,63.174525543051566
90,2024-04-12,16,27.861910281677474
90,2024-04-12,17,13.282094566452978
90,2024-04-12,18,0.46414772868831494
90,2024-04-12,19,0.0
90,2024-04-12,20,0.0
90,2024-04-12,21,
90,2024-04-13,6,
90,2024-04-13,7,44.44239515406896
90,2024-04-13,8,37.183660176182684
90,2024-04-13,9,66.71921766725202
90,2024-04-13,10,118.64825931202029
90,2024-04-13,11,160.1903573910999
90,2024-04-13,12,130.90084523993474
90,2024-04-13,13,168.97526004945095
90,2024-04-13,14,205.39884564550215
90,2024-04-13,15,176.35952919280925
90,2024-04-13,16,136.83819956727896
90,2024-04-13,17,78.4906770531733
90,2024-04-13,18,3.6463813621675265
90,2024-04-13,19,0.0
90,2024-04-13,20,0.0
90,2024-04-13,21,
90,2024-04-14,6,
90,2024-04-14,7,18.41613943989827
90,2024-04-14,8,32.148300616336016
90,2024-04-14,9,44.30251069019806
90,2024-04-14,10,50.238072548167494
90,2024-04-14,11,23.21404656698025
90,2024-04-14,12,35.8113037020337
90,2024-04-14,13,62.61207610000549
90,2024-04-14,14,48.220225248244795
90,2024-04-14,15,98.09792354560147
90,2024-04-14,16,56.43981033691502
90,2024-04-14,17,28.956347266460185
90,2024-04-14,18,6.311997986042508
90,2024-04-14,19,0.0
90,2024-04-14,20,0.0
90,2024-04-14,21,
90,2024-04-15,6,
90,2024-04-15,7,12.09160046769901
90,2024-04-15,8,24.85751838852655
90,2024-04-15,9,54.66241439462951
90,2024-04-15,10,27.286247547000652
90,2024-04-15,11,56.75095487732537
90,2024-04-15,12,116.13443501054978
90,2024-04-15,13,91.0269443365741
90,2024-04-15,14,41.166103552634965
90,2024-04-15,15,87.79389322349901
90,2024-04-15,16,58.59716038853199
90,2024-04-15,17,64.46531638796435
90,2024-04-15,18,5.274816166325296
90,2024-04-15,19,0.0
90,2024-04-15,20,0.0
90,2024-04-15,21,
90,2024-04-16,6,
90,2024-04-16,7,25.923517668539382
90,2024-04-16,8,37.76929974180501
90,2024-04-16,9,58.73108875704759
90,2024-04-16,10,116.18739055831544
90,2024-04-16,11,114.61501388548737
90,2024-04-16,12,156.36481679568615
90,2024-04-16,13,148.3480718889557
90,2024-04-16,14,104.5227856191496
90,2024-04-16,15,90.28073019232421
90,2024-04-16,16,63.232315100383566
90,2024-04-16,17,10.567393461936575
90,2024-04-16,18,0.4383118913553249
90,2024-04-16,19,0.0
90,2024-04-16,20,0.0
90,2024-04-16,21,
90,2024-04-17,6,
90,2024-04-17,7,21.801334548798913
90,2024-04-17,8,40.766280610710666
90,2024-04-17,9,54.197331255342064
90,2024-04-17,10,73.39917109845287
90,2024-04-17,11,137.31786155036346
90,2024-04-17,12,186.49974299282758
90,2024-04-17,13,169.9067587646163
90,2024-04-17,14,200.49128786660089
90,2024-04-17,15,167.5693492004535
90,2024-04-17,16,117.58663734114049
90,2024-04-17,17,45.65096142756182
90,2024-04-17,18,12.680648208433677
90,2024-04-17,19,0.0
90,2024-04-17,20,0.0
90,2024-04-17,21,
90,2024-04-18,6,
90,2024-04-18,7,38.37129388688897
90,2024-04-18,8,41.41761045595935
90,2024-04-18,9,75.96822438648633
90,2024-04-18,10,108.1479717132186
90,2024-04-18,11,103.29564528322874
90,2024-04-18,12,104.99010482338979
90,2024-04-18,13,185.71270940748366
90,2024-04-18,14,201.36185765870562
90,2024-04-18,15,95.70985606809323
90,2024-04-18,16,147.20341888665413
90,2024-04-18,17,82.80955673114406
90,2024-04-18,18,7.116974541146046
90,2024-04-18,19,0.0
90,2024-04-18,20,0.0
90,2024-04-18,21,
90,2024-04-19,6,
90,2024-04-19,7,39.92132321544109
90,2024-04-19,8,32.25130272624632
90,2024-04-19,9,82.89010439378838
90,2024-04-19,10,131.5405890203835
90,2024-04-19,11,126.57850852286055
90,2024-04-19,12,148.0354018947944
90,2024-04-19,13,117.47516349675588
90,2024-04-19,14,161.37477175754887
90,2024-04-19,15,128.00610071142475
90,2024-04-19,16,87.10363054378313
90,2024-04-19,17,75.7138529552588
90,2024-04-19,18,10.542537051467376
90,2024-04-19,19,0.0
90,2024-04-19,20,0.0
90,2024-04-19,21,
90,2024-04-20,6,
90,2024-04-20,7,34.39706999294251
90,2024-04-20,8,29.611148873268778
90,2024-04-20,9,77.52272630629739
90,2024-04-20,10,147.2161299537656
90,2024-04-20,11,189.43929178168028
90,2024-04-20,12,209.7409932864066
90,2024-04-20,13,218.86469284695556
90,2024-04-20,14,221.34234256258546
90,2024-04-20,15,188.5914279775058
90,2024-04-20,16,135.88160940908816
90,2024-04-20,17,74.21688861858205
90,2024-04-20,18,10.903477271746983
90,2024-04-20,19,0.0
90,2024-04-20,20,0.0
90,2024-04-20,21,
90,2024-04-21,6,
90,2024-04-21,7,21.617585718812393
90,2024-04-21,8,39.48269927446668
90,2024-04-21,9,68.0337777120845
90,2024-04-21,10,107.52398073608016
90,2024-04-21,11,39.8972871326108
90,2024-04-21,12,54.300768198146415
90,2024-04-21,13,43.307355146975375
90,2024-04-21,14,31.31853774246354
90,2024-04-21,15,39.74533390293249
90,2024-04-21,16,30.746543619191034
90,2024-04-21,17,13.749282362280654
90,2024-04-21,18,1.8898702581353888
90,2024-04-21,19,0.0
90,2024-04-21,20,0.0
90,2024-04-21,21,
90,2024-04-22,6,
90,2024-04-22,7,20.6587679713356
90,2024-04-22,8,40.691259699284714
90,2024-04-22,9,40.085930910705116
90,2024-04-22,10,56.88944647125105
90,2024-04-22,11,70.33275439468832
90,2024-04-22,12,122.5988275444642
90,2024-04-22,13,162.1126977109916
90,2024-04-22,14,132.9136318335126
90,2024-04-22,15,94.00051125196892
90,2024-04-22,16,72.3416542052132
90,2024-04-22,17,20.99530953378461
90,2024-04-22,18,6.850273901019625
90,2024-04-22,19,0.0
90,2024-04-22,20,0.0
90,2024-04-22,21,
90,2024-04-23,6,
90,2024-04-23,7,32.678601681945736
90,2024-04-23,8,30.009563352381928
90,2024-04-23,9,66.88659387084688
90,2024-04-23,10,59.92876889487057
90,2024-04-23,11,166.83514080068272
90,2024-04-23,12,36.8270840477473
90,2024-04-23,13,103.74350036974444
90,2024-04-23,14,132.62143372695746
90,2024-04-23,15,49.17967322985169
90,2024-04-23,16,31.433657566124232
90,2024-04-23,17,41.36328054117614
90,2024-04-23,18,10.588606081119352
90,2024-04-23,19,0.0
90,2024-04-23,20,0.0
90,2024-04-23,21,
90,2024-04-24,6,
90,2024-04-24,7,24.20781401489007
90,2024-04-24,8,41.64421442820347
90,2024-04-24,9,55.55826687407822
90,2024-04-24,10,92.98563450628224
90,2024-04-24,11,138.76648358418106
90,2024-04-24,12,161.61932599531278
90,2024-04-24,13,155.1046902880066
90,2024-04-24,14,103.14424522194892
90,2024-04-24,15,21.551733903275235
90,2024-04-24,16,16.712587206261134
90,2024-04-24,17,9.399194264676307
90,2024-04-24,18,3.5460258539707383
90,2024-04-24,19,0.0
90,2024-04-24,20,0.0
90,2024-04-24,21,
90,2024-04-25,6,
90,2024-04-25,7,25.752231905714225
90,2024-04-25,8,37.38603069016905
90,2024-04-25,9,35.74453657098337
90,2024-04-25,10,138.01067331309739
90,2024-04-25,11,68.79898087195869
90,2024-04-25,12,0.0
90,2024-04-25,13,0.0
90,2024-04-25,14,199.22401529861017
90,2024-04-25,15,173.0931839422562
90,2024-04-25,16,99.83734120119871
90,2024-04-25,17,47.87911363859422
90,2024-04-25,18,10.104862355074337
90,2024-04-25,19,0.0
90,2024-04-25,20,0.0
90,2024-04-25,21,
90,2024-04-26,6,
90,2024-04-26,7,32.30117264112886
90,2024-04-26,8,42.93062859986981
90,2024-04-26,9,57.06927544647605
90,2024-04-26,10,55.9609146307032
90,2024-04-26,11,145.2183106775328
90,2024-04-26,12,77.27011382044547
90,2024-04-26,13,167.66818103073382
90,2024-04-26,14,184.57381817844856
90,2024-04-26,15,69.75398445755711
90,2024-04-26,16,12.331394908987152
90,2024-04-26,17,4.534384911162946
90,2024-04-26,18,18.349406053076834
90,2024-04-26,19,0.0
90,2024-04-26,20,0.0
90,2024-04-26,21,
90,2024-04-27,6,
90,2024-04-27,7,18.413493198708526
90,2024-04-27,8,45.30051941751397
90,2024-04-27,9,62.72160555653512
90,2024-04-27,10,117.06685920901626
